user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type
328862,323294,833,2882,2661,0829,0
328862,844400,1271,2882,2661,0829,0
328862,575153,1271,2882,2661,0829,0
328862,996875,1271,2882,2661,0829,0
328862,1086186,1271,1253,1049,0829,0
328862,623866,1271,2882,2661,0829,0
328862,542871,1467,2882,2661,0829,0
328862,536347,1095,883,1647,0829,0
328862,364513,1271,2882,2661,0829,0
328862,575153,1271,2882,2661,0829,0
328862,239288,602,420,4953,0801,0
328862,950862,962,4605,7622,0801,0
328862,262500,602,420,4953,0801,0
328862,1064265,614,4605,7622,0801,0
328862,809148,602,420,4953,0801,0
328862,197239,602,420,4953,0801,0
328862,43367,1505,3828,1446,0526,0
328862,844535,302,3354,883,0526,0
328862,886633,1505,3828,1446,0526,0
328862,81766,614,4605,7622,0709,2
328862,524981,664,2382,1272,0602,0
328862,81766,614,4605,7622,0709,0
328862,208525,267,3073,8126,0805,0
328862,853901,267,3073,8126,0805,2
328862,1102596,267,3073,8126,0805,2
328862,963870,267,3073,8126,0805,2
328862,813647,267,3073,8126,0805,2
328862,208525,267,3073,8126,0805,2
328862,943106,662,3354,883,0526,0
328862,950862,962,4605,7622,0709,0
328862,943106,662,3354,883,0526,0
328862,1037824,662,4094,7749,0531,0
328862,339997,1432,323,320,0531,0
328862,706479,1505,780,516,0921,0
328862,544690,1095,780,516,0921,0
328862,81766,614,4605,7622,0801,2
328862,1064265,614,4605,7622,0801,0
328862,237512,154,883,1647,0829,0
328862,65116,614,4605,7622,0709,0
328862,261334,602,420,4953,0801,0
328862,815434,602,420,4953,0801,0
328862,467266,821,3354,883,0526,0
328862,30217,1397,3354,883,0526,0
328862,142866,1238,3828,1446,0526,0
328862,542129,602,420,4953,0801,0
328862,1089499,154,883,1647,0829,0
328862,19195,602,420,4953,0801,0
328862,81766,614,4605,7622,0709,0
328862,81766,614,4605,7622,0709,0
328862,81766,614,4605,7622,0709,0
328862,1064265,614,4605,7622,0709,0
328862,93242,1505,780,516,0921,0
328862,605963,1467,4432,1209,0921,0
328862,402928,602,420,4953,0801,0
328862,589922,1095,780,516,0921,0
328862,267067,1208,1200,2276,0908,0
328862,313424,614,4043,7178,1013,0
328862,697491,662,3828,1446,0526,0
328862,1113102,1505,3828,1446,0526,0
328862,452003,1505,3828,1446,0526,0
328862,698158,1505,3828,1446,0526,0
328862,81766,614,4605,7622,0801,0
328862,313424,614,4043,7178,1013,0
